legajo,apellido_nombre,carrera_cod,sede_cod,sexo,fecha_inscripcion,materias_aprobadas,promedio
10406,"Peralta, Catalina",C03,S1,m,03/08/2026,20,8.09
10280,"Cardozo, Franco",C02,S2,M,23/08/2026,4,8.96
10757,"Duarte, Bruno",C01,S2,f,06/03/2023,18,7.07
10504,"Vera, Facundo",C06,S3,f,20/08/2024,8,"9,45"
11317,"Quiroga, Sofia", C04,S1,MASCULINO,12/03/2026,6,"6,71"
11235,"Sosa, Agustin",C04,S2  ,Femenino,16/03/2025,30,8.10
10974,"Maidana, Mia",C04,S2,masculino,16/03/2025,16,6.07
11241,"  Cabrera, Santino ",C12,S4,m,08/08/2025,28,4.77
10493,"Toledo, Valentina",C02,S1,Femenino,02/08/2026,17,"7,70"
11058,"Barrios, Facundo",C04,S2,m,23/03/2026,12,4.06
11004,"  Ledesma, Santino ",C01,S2,M,01/03/2023,5,"7,47"
10906,"Acosta, Bruno", C01,S1,Femenina,04/03/2026,22,"6,48"
10259,"Escobar, Zoe",C06,S2,m,23/08/2023,2,"8,24"
10542,"Lucero, Valentina",C03,S2,m,16/08/2023,29,5.06
10393,"  Escobar, Julieta ",C02,S2  ,femenino,09/08/2026,11,5.83
11290,"Ibarra, Joaquin",C06,S2,Femenino,06/03/2025,29,"9,35"
10731,"Arias, Mateo",C06,S1,m,05/03/2025,26,
11184,"Paredes, Agustin",C04,S4,Femenino,09/08/2023,0,9.29
10058,"Gimenez, Ramiro",C09,S2  ,F,23/03/2023,3,4.86
11221,"Suarez, Renata",C02,S1,f,09/08/2025,34,4.96
10141,"Sosa, Lautaro",C01,S1,femenino,10/03/2025,7,"7,68"
10331,"Molina, Camila",C06,S1,f,28/08/2024,,"4,77"
10323,"  Vega, Guadalupe ",C01,S2,Masculino,05/03/2024,4,"7,81"
10245,"  Ponce, Tomas ", C03,S3,f,20/03/2025,32,6.63
11101,"Barrios, Julieta",C04,S2,Femenina,21/03/2025,9,7.62
10133,"  Ferreyra, Delfina ",C01,S1,FEMENINO,06/08/2026,0,4.15
10177,"Ledesma, Lucia",C04,S1,Femenina,25/08/2024,21,"7,21"
10569,"  Barrios, Emma ",C01,S2,M,16/03/2025,11,4.22
10267,"  Escobar, Lautaro ",C01,S4,f,07/08/2025,29,"8,44"
10022,"Suarez, Zoe", C02,S1  ,m,28/03/2023,13,8.66
10364,"  Gimenez, Julieta ",C06,S1,M,07/03/2024,13,4.61
11078,"  Silva, Isabella ",C01,S2,femenino,11/08/2025,22,6.97
10801,"Segovia, Bruno",C01,S2,Femenino,13/03/2026,34,5.44
10497,"Alvarez, Julieta",C01,S2,Femenina,18/08/2023,9,"8,98"
10043,"  Toledo, Thiago ",C03,S1,FEMENINO,26/03/2024,12,4.29
10871,"Toledo, Guadalupe",C05,S2,F,22/03/2024,20,"6,74"
11256,"  Ledesma, Franco ",C02,S4,Femenino,13/03/2026,27,"5,42"
10343,"Ponce, Lautaro",C06,S3,Femenino,15/03/2023,13,6.89
10106,"Cardozo, Mateo",C01,S1,MASCULINO,22/03/2025,21,5.47
11155,"Arias, Guadalupe",C01,S1  ,m,10/08/2025,2,7.45
10672,"  Maidana, Sofia ",C01,S1,MASCULINO,02/03/2025,34,7.57
10654,"Coronel, Santino",C01,S1,Masculino,12/08/2024,21,"5,68"
10084,"Villalba, Renata",C07,S2,Femenino,18/03/2024,,8.76
10486,"Aguirre, Franco",C04,S1,M,19/08/2024,32,7.69
10212,"  Cabrera, Tomas ",C04,S2,MASCULINO,12/03/2024,5,"4,91"
11381,"Ponce, Thiago",C03,S2,Femenino,28/03/2025,10,4.88
10689,"Paredes, Abril",C01,S1  ,F,23/08/2024,25,"4,83"
10528,"Bustos, Emma",C02,S4,Femenino,08/03/2025,19,"9,60"
10785,"Escobar, Emma",C01,S1,Femenina,15/03/2023,19,7.82
11211,"  Peralta, Mateo ",C02,S1,Femenina,09/03/2025,34,6.70
10925,"Aguirre, Isabella", C01,S4,Masculino,25/08/2025,9,4.51
11207,"Suarez, Agustin",C02,S2,FEMENINO,08/08/2025,11,"12,30"
10191,"Rios, Delfina",C06,S1,Femenino,16/08/2023,12,7.53
